university,endowment,numFaculty,numDoctoral,country,numStaff,established,numPostgrad,numUndergrad,numStudents
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1340,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1403,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1403,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1340,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1340,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1403,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1403,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1340,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1340,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1403,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1403,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1340,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1340,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1403,
Kalamazoo College,1.55E+08,103,NA,United States,,1833,,1403,
Michigan State University,US $1.786 billion,4985,NA,United States,6355,1855-02-12,11073,36058,47800
Michigan State University,US $1.786 billion,4985,NA,United States,6355,1855-02-12,11073,36058,47954
Michigan State University,US $1.786 billion,4985,NA,United States,6355,1855-02-12,11279,36058,47800
Michigan State University,US $1.786 billion,4985,NA,United States,6355,1855-02-12,11279,36058,47954
Michigan State University,US $1.786 billion,4985,NA,United States,6355,1855-02-12,11073,36675,47800
Michigan State University,US $1.786 billion,4985,NA,United States,6355,1855-02-12,11073,36675,47954
Michigan State University,US $1.786 billion,4985,NA,United States,6355,1855-02-12,11279,36675,47800
Michigan State University,US $1.786 billion,4985,NA,United States,6355,1855-02-12,11279,36675,47954
Michigan State University,US $1.786 billion,4985,NA,USA,6355,1855-02-12,11073,36058,47800
Michigan State University,US $1.786 billion,4985,NA,USA,6355,1855-02-12,11073,36058,47954
Michigan State University,US $1.786 billion,4985,NA,USA,6355,1855-02-12,11279,36058,47800
Michigan State University,US $1.786 billion,4985,NA,USA,6355,1855-02-12,11279,36058,47954
Michigan State University,US $1.786 billion,4985,NA,USA,6355,1855-02-12,11073,36675,47800
Michigan State University,US $1.786 billion,4985,NA,USA,6355,1855-02-12,11073,36675,47954
Michigan State University,US $1.786 billion,4985,NA,USA,6355,1855-02-12,11279,36675,47800
Michigan State University,US $1.786 billion,4985,NA,USA,6355,1855-02-12,11279,36675,47954
University of Tennessee,US$848.3 million,1309,NA,United States,8458,1794,6215,21308,27523
University of Tennessee,US$848.3 million,1309,NA,United States,8458,1794,6215,21308,27523
University of the Philippines Los Ba%C3%B1os,PH‚ 4 billion,817,NA,Philippines,,1909/3/6,1305,10756,12557
University of the Philippines Los Ba%C3%B1os,PH‚ 4 billion,933,NA,Philippines,,1909/3/6,1305,10756,12557
Kean University,US$14.543 million,953,NA,United States,352,1855,"~3,200","~13,000",16000
Kean University,US$14.543 million,953,NA,United States,352,1855,"~3,200","~13,000",16000
